hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate,Date
19-20,9,285,97,2633,104,1796,201,4965,30,1050,441,6263,21,688,82,2484,129,1444,9,351,0,0,20250302062027
20-21,9,265,97,2151,104,2085,0,0,116,2618,66,2217,22,709,82,1757,145,1403,9,378,0,0,20250302062027
21-22,12,258,132,1895,154,1799,6,750,116,2418,626,7634,36,895,124,3246,176,1355,12,261,0,0,20250302062027
22-23,9,267,97,1683,104,1909,0,0,73,2342,253,5379,22,769,82,2962,129,1549,12,333,0,0,20250302062027
23-24,9,215,97,2553,104,1936,0,0,30,1250,66,2447,21,798,82,3157,129,1492,9,233,0,0,20250302062027
0-1,9,200,97,2496,104,2098,0,0,116,2983,446,5595,22,769,82,2268,171,1595,21,403,0,0,20250303062446
1-2,12,286,132,2048,154,2268,0,0,116,2825,442,5041,38,944,124,3272,172,1344,12,302,0,0,20250303062446
2-3,9,262,97,2500,104,2098,13,1181,73,1175,252,5048,22,655,82,2648,129,1242,9,313,0,0,20250303062446
3-4,9,201,97,1828,104,2168,0,0,30,1363,66,3000,21,671,82,2994,129,1589,9,333,0,0,20250303062446
4-5,9,322,110,1671,127,1705,0,0,144,3008,593,6332,32,629,104,2486,129,1455,9,322,0,0,20250303062446
5-6,15,307,161,1695,204,2063,23220,15084,159,3024,631,6511,53,924,166,2217,647,2699,33,760,0,0,20250303062446
6-7,28,358,174,1840,1446,2494,104,2388,2161,4802,2115,4777,166,909,2107,5134,3601,3492,332,1308,0,0,20250303062446
7-8,15,285,213,1512,2225,2818,18,900,2863,4684,2918,4645,298,1164,3411,4472,8377,4629,195,1084,0,0,20250303062446
8-9,15,289,197,1552,1924,2859,256,4117,2112,5386,2286,5297,140,896,1510,4384,2983,3065,165,1044,0,0,20250303062446
9-10,35,408,281,2375,2930,2615,494,3680,3820,4692,4248,4895,425,1608,4196,4832,51984,5937,186,1023,0,0,20250303062446
10-11,38,400,347,1514,4111,2773,540,5685,4766,5095,5609,5778,363,1480,4851,4696,18601,6135,147,793,0,0,20250303062446
11-12,282,1292,423,1525,4696,2947,1102,4947,5366,5491,6253,5700,547,1952,5563,5628,146344,7540,408,1378,0,0,20250303062446
12-13,55,749,217,1665,3179,2964,1859,6324,3496,4978,4103,5327,220,1231,3598,4905,102359,7755,372,1117,0,0,20250303062446
13-14,52,737,220,1704,2439,3006,198,2549,2622,5067,3882,4940,296,1430,3776,5092,28649,5800,117,721,0,0,20250303062446
14-15,29,400,269,2129,747,2315,1867,6918,383,2987,982,3502,161,1362,713,3960,98522,5919,510,1864,0,0,20250303062446
15-16,9,315,97,2697,214,1890,2030,5837,143,2166,265,2789,28,445,143,2570,9517,3960,99,1034,0,0,20250303062446
16-17,201,1586,125,2471,822,2608,58,4461,650,4062,1040,3952,99,1026,619,4258,3527,2250,45,464,0,0,20250303062446
17-18,29,446,199,2170,502,2120,219,4571,470,2130,1049,3052,150,1184,596,3475,19680,4358,84,699,0,0,20250303062446
18-19,9,264,72,1933,119,1700,0,0,68,971,230,2563,49,1146,201,3401,30901,5862,228,1651,0,0,20250303062446
19-20,546,2688,108,1610,1841,3153,532,5537,2462,6273,1572,4643,145,888,1417,4542,18143,5001,39,538,0,0,20250303062446
20-21,13,569,34,1534,660,2536,0,0,799,3692,397,2487,52,506,224,3245,174,1982,366,3194,0,0,20250303062446
21-22,9,315,104,1873,470,2234,68,6800,420,2944,511,4180,64,745,333,2567,215,1481,15,322,0,0,20250303062446
22-23,9,300,97,2553,104,1960,0,0,73,2358,252,4833,22,721,82,2482,129,1393,12,320,0,0,20250303062446
23-24,9,290,97,2505,224,2160,0,0,185,3489,504,3940,31,806,175,4098,172,1409,12,307,0,0,20250303062446
0-1,9,277,97,1874,104,2426,0,0,73,2380,252,5563,22,695,82,2881,156,1007,21,564,0,0,20250304062723
1-2,12,273,132,1918,154,2416,0,0,116,2467,436,5796,38,806,124,3115,172,1413,12,316,0,0,20250304062723
2-3,9,325,97,2110,104,1836,0,0,73,1874,253,5866,22,744,82,2807,129,1440,9,302,0,0,20250304062723
3-4,880,1602,97,2372,104,1796,0,0,30,1191,66,2875,22,806,82,2962,369,2132,153,1500,0,0,20250304062723
4-5,50264,4596,1116,2615,3531,3142,799,5805,3337,5192,6997,7472,957,2520,3950,6283,102558,7485,548,1746,0,0,20250304062723
5-6,247,784,796,1663,4706,2972,28526,6857,5481,5687,8170,6854,1209,2698,8837,5788,238446,8589,1649,2875,0,0,20250304062723
6-7,518,1584,367,1637,3135,3066,2834,6106,2887,4524,4519,6164,589,1840,4346,5063,130701,6128,983,2587,0,0,20250304062723
7-8,1990,2542,1510,1693,11002,3481,6770,6140,11658,6547,15039,8455,1327,2480,15489,7161,226996,7836,1203,2494,0,0,20250304062723
8-9,1414,2013,878,1543,9210,3428,5464,7099,10127,6038,12526,8154,1096,2596,11852,6538,181263,9127,1113,2228,0,0,20250304062723
9-10,991,1890,1400,1828,9509,3572,6502,6449,9720,5825,12522,7818,1724,3798,11336,6933,416162,10200,9975,5937,0,0,20250304062723
10-11,4981,3585,1316,1666,14077,3944,10604,6059,13782,6977,18123,8058,2059,3965,17356,7454,454047,10474,22701,6442,0,0,20250304062723
11-12,2064,2668,1177,1693,12760,3473,9982,7676,12289,6013,17318,8914,1636,3200,14289,7537,615197,10857,3624,3353,0,0,20250304062723
12-13,1014,2085,870,1570,7056,3550,12959,7921,6901,4934,10894,7476,1493,3532,12004,6667,442740,9336,29040,6490,0,0,20250304062723
13-14,2475,2420,1008,1697,5340,3517,4271,7250,4268,4535,7648,6824,1127,2800,6604,6587,258516,8817,954,2047,0,0,20250304062723
14-15,858,1682,754,1499,3985,3071,2587,5507,4311,3900,7094,6368,769,2349,5258,5221,140090,8263,831,2095,0,0,20250304062723
15-16,625,1452,708,1535,6362,3444,2438,5103,6414,5414,8736,7257,983,2727,8189,5865,191478,8440,1305,2669,0,0,20250304062723
16-17,2124,3464,466,1328,7525,3843,4893,6123,8034,5559,8705,7192,811,1656,7068,6403,222375,8057,16647,5615,0,0,20250304062723
17-18,783,2086,376,1241,5344,3471,723,3437,6342,4901,7023,6221,670,2068,6577,6011,69519,7974,559,1623,0,0,20250304062723
18-19,1265,1780,590,1828,5037,3298,3573,4996,4665,5045,7094,6900,633,1907,5928,5821,182941,8831,1065,1982,0,0,20250304062723
19-20,396,1713,524,1694,4537,2990,3574,6471,3594,4492,5587,6333,689,2475,5891,5699,206737,8228,1488,2836,0,0,20250304062723
20-21,48,550,347,1381,4119,3217,3177,6299,5649,5461,6086,6273,713,1947,4864,5602,120853,7774,876,2148,0,0,20250304062723
21-22,2081,3013,409,1424,3054,3132,1334,5300,2474,3860,3524,5155,446,2107,3245,5522,136681,8129,726,1892,0,0,20250304062723
22-23,182,1490,192,1523,689,2686,2177,6200,512,3190,1269,4704,186,1454,1058,4237,85349,6903,459,1716,0,0,20250304062723
23-24,13,621,31,2583,0,0,277,1935,15,1071,33,2999,3,375,20,2000,2718,3378,408,3624,0,0,20250304062723
0-1,215,1244,293,1924,1008,2599,1020,3385,760,2578,1950,3074,256,1656,1298,4212,50914,7292,327,1281,0,0,20250305062614
1-2,6,232,70,1576,226,2144,916,3579,119,2280,415,4168,52,1267,221,3478,4263,4051,27,425,0,0,20250305062614
2-3,30,520,219,2336,704,2306,13,1625,660,3780,1385,4948,102,860,761,4939,6599,3880,57,479,0,0,20250305062614
3-4,42,475,258,1384,804,2341,94,2276,447,2745,1732,4672,239,1399,934,4466,31519,5854,162,905,0,0,20250305062614
4-5,390,1603,543,1926,3395,2792,910,4759,3714,5306,5735,6385,578,2184,4063,5434,110065,7731,624,1579,0,0,20250305062614
5-6,414,1391,703,1934,3565,2935,26706,6478,3217,4862,5545,5989,608,1669,4138,5284,101807,6945,495,1185,0,0,20250305062614
6-7,742,1672,267,1715,3098,2797,1192,4662,3488,5703,4476,5869,457,1950,3327,5920,60770,6123,779,2096,0,0,20250305062614
7-8,3662,3026,1134,2001,10608,3205,5544,5156,10919,7477,11885,7560,1443,2765,14117,7055,253238,8695,1554,2366,0,0,20250305062614
8-9,1579,2383,799,1708,6282,3144,5983,4987,5883,5903,9169,6853,1169,2640,8185,6331,356513,8599,909,1624,0,0,20250305062614
9-10,656,2010,804,2089,6844,3043,6440,5418,6447,6087,8711,5816,868,2623,8816,6168,303474,8761,1548,2285,0,0,20250305062614
10-11,1155,1839,1013,1987,7519,3460,10812,6350,8027,6592,12841,7874,1538,3001,12423,6835,361966,9577,1356,2235,0,0,20250305062614
11-12,1840,2436,614,1809,3806,2522,4859,6087,2960,4306,6630,6253,785,2058,4993,5553,164634,8559,16896,6133,0,0,20250305062614
12-13,849,1808,714,1738,5910,3432,10313,7838,5558,6024,8082,6811,955,2480,7160,6129,400937,8600,10220,4871,0,0,20250305062614
13-14,2957,2998,835,1835,6524,3441,4772,6376,5334,5515,8465,7141,1087,2306,6859,6416,249144,9106,4080,3264,0,0,20250305062614
14-15,1598,1861,950,2084,7658,3306,4487,5999,7553,6383,12274,8579,1335,3372,7939,6766,349436,8812,7527,4794,0,0,20250305062614
15-16,43203,3630,545,1634,6506,3192,11002,8065,6397,5873,7772,6431,641,1940,7810,6787,261346,8506,1348,2339,0,0,20250305062614
16-17,7026,2373,552,1828,5359,2823,3721,6446,6145,5808,6877,6015,618,2062,8207,5948,97795,8043,837,1694,0,0,20250305062614
17-18,459700,7011,21818,3618,2081,2320,2994,5988,2020,4979,3865,6031,326,1641,3076,5007,100711,7333,687,1591,0,0,20250305062614
18-19,21041,2871,13252,2813,6327,3386,2738,5340,7804,7123,9494,7052,875,2394,6389,6166,91435,7594,9497,3981,0,0,20250305062614
19-20,350,1407,726,2390,7777,3349,4595,6734,7835,6357,10678,6498,909,2727,9556,6552,238481,8306,1437,2262,0,0,20250305062614
20-21,2579,2945,719,2018,7992,3416,6388,6271,6798,6746,9279,6748,846,2338,9405,6846,361768,10021,1557,2382,0,0,20250305062614
21-22,1245,2813,430,1736,2109,2545,2681,5508,2046,4142,3719,5224,480,1874,3560,5942,117696,8635,597,1388,0,0,20250305062614
22-23,349,1320,294,1822,1107,2504,1066,4490,918,3936,1957,4537,337,2099,1831,5170,78176,7139,366,1290,0,0,20250305062614
23-24,22,461,145,2203,459,2371,0,0,410,4576,908,5953,64,1708,175,3830,172,1458,378,2044,0,0,20250305062614
0-1,216,775,334,2067,1860,2422,274,3089,1876,4527,3155,5743,227,1842,1811,5325,45364,7314,276,968,0,0,20250306063119
1-2,35,408,288,1767,1451,2306,1118,6134,908,4162,2761,5090,281,2024,2157,5131,101388,6119,222,982,0,0,20250306063119
2-3,39,434,324,1844,828,2473,0,0,779,3453,1929,5144,149,1186,768,3788,4584,3912,57,381,0,0,20250306063119
3-4,33,415,270,1994,497,2002,199,2625,427,2974,1378,5099,129,1125,571,3411,6390,4631,51,403,0,0,20250306063119
4-5,415,1009,604,1903,2344,2700,1139,4403,2251,3588,4276,4463,569,2055,3192,5143,91909,7535,510,1370,0,0,20250306063119
5-6,303,1003,997,2254,6179,3266,31506,8504,7420,5510,9492,7099,845,2441,8270,6308,182946,8964,1059,2069,0,0,20250306063119
6-7,256,992,351,1502,2344,3275,5057,7612,2211,4165,3676,4945,345,1996,2843,5903,137466,7666,1160,2430,0,0,20250306063119
7-8,2232,2832,813,1703,8140,3194,11300,6955,7471,5730,12459,8176,948,2226,9050,5961,253348,8476,1809,2718,0,0,20250306063119
8-9,734,2144,399,1874,2706,2736,6349,6642,2085,4151,3684,5784,348,1706,2767,4383,145776,6397,564,1758,0,0,20250306063119
9-10,2075,2542,744,1640,5544,3363,7519,6139,4834,5372,7273,7370,715,1892,5579,5219,143691,7088,837,2045,0,0,20250306063119
10-11,1503,2249,827,1951,6822,3474,11068,7118,6884,6493,10380,7986,935,2282,9962,6447,155931,8287,1356,2890,0,0,20250306063119
11-12,330,1059,623,1893,6402,3344,9354,7487,7422,6298,10011,6948,834,2328,8229,5130,104513,8075,690,1788,0,0,20250306063119
12-13,773,1794,690,1786,6263,3340,7330,7307,6688,5798,9289,6293,1013,2681,8484,6303,296108,9746,1307,2251,0,0,20250306063119
13-14,703,1867,524,1708,3063,2585,5095,6144,2370,4937,4712,4893,587,2466,3762,5314,137001,7938,732,1724,0,0,20250306063119
14-15,578,1433,550,1894,4045,3036,4367,5058,3970,4878,6347,5713,584,2074,4766,5599,139127,8675,678,1659,0,0,20250306063119
15-16,271,1335,503,1343,4356,3186,4886,6339,4779,5517,6320,5930,803,2359,6053,6371,241093,8865,972,2048,0,0,20250306063119
16-17,2796,3088,305,1418,2815,3370,3031,4743,2543,2955,3614,4855,426,2394,4213,6004,144072,8665,714,1813,0,0,20250306063119
17-18,5575,5530,161,1331,2554,2966,1900,5784,967,3267,1571,4241,97,1063,2358,5455,99595,8550,771,2329,0,0,20250306063119
18-19,1716,3271,382,1896,3281,3240,3583,6029,2994,4705,4230,5238,591,2663,6382,6524,175304,8507,852,2426,0,0,20250306063119
19-20,1216,3309,199,1322,4794,3336,2325,4640,5319,4956,5290,5459,353,1694,6352,6064,94073,8187,729,2161,0,0,20250306063119
20-21,748,2143,411,1578,4137,3155,1709,5382,3497,5194,4775,5731,401,1830,4973,6029,195518,7840,525,1409,0,0,20250306063119
21-22,423,1193,1032,2067,7042,2985,1328,5956,6925,6909,10473,8145,1177,2631,9217,6591,241436,9824,861,1775,0,0,20250306063119
22-23,90,623,554,1665,4283,3102,2943,5017,4135,4747,5017,5870,699,2417,3708,5596,128465,8240,360,986,0,0,20250306063119
23-24,13,750,10,909,45,1625,61,5545,23,907,68,2266,31,1566,97,3275,15312,7487,417,3193,0,0,20250306063119
0-1,161,1302,191,1973,701,2339,260,4225,512,6085,1405,4407,190,1948,980,3828,44002,7104,672,2304,0,0,20250307063042
1-2,12,268,134,1797,301,2274,290,7765,351,3048,526,4973,37,768,209,2682,176,1352,12,314,0,0,20250307063042
2-3,42,370,356,1728,1008,2553,13,1444,968,3801,2012,5823,147,1101,942,3889,4587,3932,63,391,0,0,20250307063042
3-4,42,671,266,1391,2040,2489,423,3403,2599,4152,3712,5322,439,1895,3796,4420,42763,7052,288,1359,0,0,20250307063042
4-5,228,1056,647,1931,3613,3242,2269,5655,4094,5486,5883,7291,667,2446,5050,5750,82838,7886,498,1600,0,0,20250307063042
5-6,1087,1613,1813,2563,11415,3809,27790,6407,11170,7617,15836,8663,1877,3553,12867,6992,400908,10399,1656,2935,0,0,20250307063042
6-7,756,1705,1040,2506,5044,3145,3465,5320,5043,6520,8514,7165,1109,3823,6089,6473,234047,8211,1187,2378,0,0,20250307063042
7-8,2766,3041,1688,2551,12474,3768,9266,5928,10983,7350,18419,8615,2448,4604,18467,7510,651943,10819,3283,4041,0,0,20250307063042
8-9,1849,3032,852,1907,7482,3383,7479,5147,7767,6447,10906,7505,1165,3407,7677,5994,315511,9710,1326,2395,0,0,20250307063042
9-10,1386,2341,1140,2355,9461,3611,6648,5939,9730,6618,13251,7205,1755,3983,14111,7327,398384,10441,1790,3150,0,0,20250307063042
10-11,2754,2841,1393,2270,14888,3951,16147,8596,15887,8116,18518,8378,2336,4804,21368,7994,715355,11276,2481,3498,0,0,20250307063042
11-12,2439,3082,1097,2005,9846,3882,16065,8141,8308,6374,12337,7930,1777,4029,15865,7675,652669,11114,3042,4096,0,0,20250307063042
12-13,5159,4819,530,1700,7653,3850,6042,6521,7251,6416,9492,7634,920,2670,10303,7719,444693,10357,2355,3338,0,0,20250307063042
13-14,1913,3259,792,1977,6463,3572,4882,5636,6042,5599,8687,6607,1259,3139,9095,7003,391891,10513,1383,2718,0,0,20250307063042
14-15,1295,2234,828,2062,5861,3608,4490,5999,5604,5474,8828,8013,1214,2555,8713,6371,305751,9200,1152,2453,0,0,20250307063042
15-16,1553,3381,424,2087,3569,2693,3609,6005,2496,4299,3939,5612,720,2052,6966,6376,398646,8462,1434,2823,0,0,20250307063042
16-17,978,2428,298,1774,3043,2915,2642,5634,2847,4244,2940,4508,362,1431,4523,5341,130627,7299,702,2072,0,0,20250307063042
17-18,1788,2692,411,1253,4291,3264,6220,6760,4053,5100,5157,6792,598,2485,5376,6003,252590,8182,1155,2597,0,0,20250307063042
18-19,1784,2710,541,1697,7928,3542,4438,5270,7936,6442,10567,7486,952,2371,9949,6770,330864,9169,1299,2819,0,0,20250307063042
19-20,2233,2802,149,1318,3364,2958,1879,4341,2700,3934,3028,4541,227,1089,3915,5236,94631,8038,993,3064,0,0,20250307063042
20-21,552,1778,265,1489,2171,2913,1451,4266,1909,3631,3101,4638,415,2174,2526,5328,79652,7701,579,1730,0,0,20250307063042
21-22,584,1764,387,1371,2248,2573,758,4717,2069,4111,3314,4618,369,1764,2165,4181,46621,6798,444,1510,0,0,20250307063042
22-23,47,587,260,1349,2341,2628,314,3953,2534,4332,3964,4577,447,2242,2993,4828,55771,6857,318,1109,0,0,20250307063042
23-24,238,937,142,1250,1856,2721,205,4796,2159,3845,3166,4808,347,1358,3770,5380,45841,6564,120,765,0,0,20250307063042
0-1,713,2037,260,1456,1621,2293,1353,5280,1280,3791,2673,4966,379,2022,3255,5571,107946,8391,432,1497,0,0,20250308063022
1-2,6,286,62,2299,353,2221,0,0,499,4672,463,3370,49,994,680,4454,382,2153,21,480,0,0,20250308063022
2-3,129,905,1075,2843,3429,2631,313,3988,3100,5390,6212,6239,771,2418,3743,5701,56491,7502,345,1143,0,0,20250308063022
3-4,48,700,353,1690,629,1978,1290,4792,516,2810,1801,5454,249,1618,962,4078,47177,6043,327,1205,0,0,20250308063022
4-5,218,809,580,2090,3709,3108,650,2947,3978,5710,5584,6517,481,1799,3418,4988,49164,6911,297,1031,0,0,20250308063022
5-6,2303,2673,1321,2208,8200,3690,27498,6406,8276,7823,11207,7978,1217,3154,7572,6292,202783,9380,1065,2039,0,0,20250308063022
6-7,212,909,447,2044,1871,2605,1005,3363,2226,5423,3190,5798,267,1857,1742,4045,21838,5664,680,1973,0,0,20250308063022
7-8,454,1061,1148,2343,6329,2940,5130,5411,7118,6690,9272,6841,846,2682,6354,5935,119376,7666,993,2248,0,0,20250308063022
8-9,1146,1892,1972,2761,10753,3266,5433,5645,10904,7459,17641,8839,2165,4298,12783,6540,400021,10003,1602,2631,0,0,20250308063022
9-10,1802,2870,1325,2406,7472,3466,8853,6380,5315,5746,10903,7666,2118,4415,11915,7090,671141,10449,2514,3936,0,0,20250308063022
10-11,1951,2807,1179,2218,9234,3668,21685,7864,9140,7350,13269,8207,1604,3574,12760,6795,590495,10650,2916,4238,0,0,20250308063022
11-12,2872,3438,657,1815,7819,3728,10466,6862,7456,6140,8252,5534,1016,2784,10207,6922,530228,10276,2454,3384,0,0,20250308063022
12-13,2266,2366,1242,2189,9924,3710,8070,6514,10193,7044,15389,8664,1962,3899,13884,6955,459432,10932,2178,3671,0,0,20250308063022
13-14,2710,2812,1031,2262,6337,3533,14747,8211,3731,5497,7148,5649,1414,3733,9445,7446,769175,10866,5388,4468,0,0,20250308063022
14-15,4517,4059,968,2015,8205,3571,7483,6693,5437,5925,9839,6833,1510,3387,10704,7683,450377,10727,8151,4773,0,0,20250308063022
15-16,1307,1889,647,1795,4782,3234,7683,7616,4769,5464,7289,5878,1124,2837,7256,6609,408283,10348,4904,4024,0,0,20250308063022
16-17,1650,2899,527,1656,4236,2649,2237,4959,3989,5302,5771,5723,721,2806,5921,5822,174782,9456,1251,2656,0,0,20250308063022
17-18,591,1628,491,1434,3675,3004,2189,5319,3719,5117,6013,5611,759,2295,5671,5363,75849,7992,594,1549,0,0,20250308063022
18-19,872,2044,1696,2729,7015,2760,2515,5399,6272,6150,12452,8310,1610,4009,9132,6868,240429,9499,936,2081,0,0,20250308063022
19-20,3500,2704,1375,2497,8344,2887,6462,6840,6202,6794,12078,8268,2083,4158,12584,7359,564802,11124,2190,3338,0,0,20250308063022
20-21,2041,2949,597,1406,4987,3029,6649,7045,4023,5962,7325,6943,1266,2961,9538,6387,472505,11059,1956,3257,0,0,20250308063022
21-22,1558,2396,636,1807,4944,2861,3318,6227,4407,5791,6866,7121,979,3039,7118,6847,296115,10191,1125,2405,0,0,20250308063022
22-23,413,2208,86,1126,856,2769,591,3450,581,2643,865,3611,114,1668,1578,4369,52221,6435,219,1316,0,0,20250308063022
23-24,6,286,62,2483,54,1808,0,0,30,1363,66,3025,6,316,40,2111,312,1893,6,316,0,0,20250308063022
0-1,207,1376,229,1761,773,2516,333,3450,503,4230,1465,5544,180,1479,1049,4718,50245,6918,255,1147,0,0,20250309062416
1-2,9,302,112,2144,89,2063,0,0,54,1583,137,3972,61,1313,108,2319,2421,4019,36,601,0,0,20250309062416
2-3,30,516,219,1645,646,2332,4,333,564,3379,1333,5117,102,913,639,4110,4433,4408,54,534,0,0,20250309062416
3-4,73,771,391,1561,1527,2639,275,2760,1459,3742,3281,5200,379,1812,2088,4821,45327,6836,348,1495,0,0,20250309062416
4-5,237,1156,399,1668,2456,2343,382,2925,2138,4462,4561,4958,477,1916,3560,4795,64226,8147,285,1098,0,0,20250309062416
5-6,243,1258,379,1589,1949,2665,23926,6776,1681,4430,3271,4696,405,1692,2440,4738,61663,7467,552,1873,0,0,20250309062416
6-7,80,677,231,2150,1287,2494,338,3057,1345,3837,2644,4951,336,1690,2685,5226,13865,6577,440,1408,0,0,20250309062416
7-8,230,594,244,1279,679,1786,1682,3773,370,2325,767,3517,221,1723,1052,3862,121707,7329,369,1506,0,0,20250309062416
8-9,669,2685,139,1031,903,2403,162,1401,716,2704,1122,3746,140,1247,1407,4428,26656,4709,81,546,0,0,20250309062416
9-10,9,274,97,2619,104,2128,0,0,73,2433,256,5840,22,615,82,2288,1280,2811,18,397,0,0,20250309062416
10-11,24,485,129,2615,382,2393,1058,6293,280,4848,775,6326,110,765,529,3875,17260,6117,78,1027,0,0,20250309062416
11-12,189,1541,177,1426,445,3007,397,3931,253,2815,757,4764,116,917,597,5123,29428,7727,192,1638,0,0,20250309062416
12-13,192,1236,197,1680,631,2254,267,4058,448,3790,1168,5269,140,1299,797,3287,29902,6173,180,1375,0,0,20250309062416
13-14,6,316,62,1880,54,1399,17,1888,30,1250,72,2382,6,300,40,1555,151,1115,24,695,0,0,20250309062416
14-15,207,1299,262,1661,773,2539,260,2834,503,3766,1463,5593,220,1909,1086,4408,45555,7108,246,1317,0,0,20250309062416
15-16,210,1132,300,1382,902,2679,260,4127,609,3063,1685,4723,245,1931,1209,4552,46116,6473,255,1289,0,0,20250309062416
16-17,31,483,150,1595,382,2388,94,2500,280,3453,772,4723,109,1582,532,3858,17122,5424,78,1014,0,0,20250309062416
17-18,6,286,62,2583,54,2002,213,3250,30,1217,66,3300,6,266,40,1588,86,1312,6,354,0,0,20250309062416
18-19,24,587,149,2278,382,2470,47,2336,280,3993,693,5816,104,1428,460,2740,17629,5742,66,734,0,0,20250309062416
19-20,9,397,109,1967,183,2157,213,3742,15,1500,33,3666,33,557,85,2534,650,3485,12,389,0,0,20250309062416
20-21,24,466,150,2555,382,2464,94,1889,401,3463,1026,4424,110,1897,607,4233,16191,6284,63,812,0,0,20250309062416
21-22,27,512,168,1891,875,3127,44,4400,792,3833,1088,3733,70,1068,753,5885,2502,3622,30,457,0,0,20250309062416
22-23,27,559,203,2133,432,2782,47,2115,323,3128,965,5244,143,1297,580,3700,17523,5905,69,687,0,0,20250309062416
23-24,6,300,62,1737,54,2002,0,0,30,1687,66,3102,6,323,40,2000,86,1133,6,245,0,0,20250309062416
0-1,207,1362,244,1610,773,2831,266,3419,503,3564,1463,5001,220,1844,1089,5484,46170,7774,177,938,0,0,20250310062457
1-2,6,230,62,2325,54,1882,0,0,30,1666,66,3300,6,230,40,2000,109,1110,6,250,0,0,20250310062457
2-3,42,588,233,1839,661,2743,94,2354,494,3116,1452,5080,196,1622,568,2521,33443,6812,126,892,0,0,20250310062457
3-4,207,1201,244,1337,773,2568,260,3692,503,3082,1466,4840,220,1565,1492,3695,45606,6989,168,968,0,0,20250310062457
4-5,174,1501,117,1429,216,2221,258,2976,82,1696,264,4040,43,910,197,2568,15125,6251,135,1455,0,0,20250310062457
5-6,42,659,225,1587,624,2309,23292,9182,494,2730,1451,4391,180,1253,890,3809,27607,6236,120,841,0,0,20250310062457
6-7,40,521,171,1389,306,1841,151,3254,214,1948,705,3690,92,1011,462,3203,8561,5484,428,1412,0,0,20250310062457
7-8,189,1931,171,1225,531,2704,235,3136,310,3002,796,3572,153,1592,731,4448,44013,7464,237,1240,0,0,20250310062457
8-9,313,3287,127,1967,269,2259,94,2444,232,3636,352,5543,32,953,75,2574,172,1435,12,270,0,0,20250310062457
9-10,207,1151,251,1537,788,2236,260,3771,546,2992,1619,4854,225,1765,1189,3840,46423,6802,261,1229,0,0,20250310062457
10-11,6,303,62,2700,54,1928,370,5737,42,1002,129,1283,30,716,40,1526,176,1432,12,359,0,0,20250310062457
11-12,27,532,191,2408,527,2837,82,1716,438,4007,1128,4303,134,1363,705,4557,17986,6474,87,787,0,0,20250310062457
12-13,6,291,62,1614,240,2641,0,0,238,3657,290,3445,19,649,329,3439,131,1455,9,263,0,0,20250310062457
13-14,210,1416,279,1871,823,2565,260,3207,546,3319,1654,4228,235,1851,1128,5024,44649,7502,153,951,0,0,20250310062457
14-15,207,771,244,1351,773,2330,231,3377,503,3025,1471,4154,220,1615,1089,4439,45176,7562,147,840,0,0,20250310062457
15-16,24,601,150,1757,382,2887,123,2803,280,3652,781,4782,110,1594,529,4301,17418,6215,69,684,0,0,20250310062457
16-17,3,115,31,2066,27,1588,47,2472,15,1500,33,3300,3,300,20,2000,43,1458,3,300,0,0,20250310062457
17-18,201,1432,182,1154,719,2782,260,3328,473,2884,1395,4289,214,1591,1049,4791,44849,7455,141,993,0,0,20250310062457
18-19,536,4013,0,0,73,4294,47,2937,6,428,0,0,0,0,150,5758,922,1702,0,0,0,0,20250310062457
19-20,18,775,88,1884,326,4179,94,2275,250,5269,705,7626,104,1260,492,3792,18590,6050,57,840,0,0,20250310062457
20-21,183,1903,94,914,391,2078,213,3937,223,2998,690,3452,110,1367,557,7218,27651,6286,81,995,0,0,20250310062457
21-22,18,983,88,1712,328,2727,67,2449,250,3568,706,5520,104,1551,492,4019,16961,6788,63,837,0,0,20250310062457
22-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,363,3,428,0,0,20250310062457
23-24,36,621,178,1293,605,3027,231,3641,464,4582,1388,5841,214,1428,961,4264,40177,6459,144,849,0,0,20250310062457
0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,3197,18,428,0,0,20250311062630
1-2,24,523,170,1946,639,2993,47,2235,567,3011,1470,5620,148,1496,545,3737,19535,6030,114,952,0,0,20250311062630
2-3,198,2320,141,943,533,2670,260,3175,278,2562,892,4962,183,2183,1088,4198,43768,7505,243,1577,0,0,20250311062630
3-4,39,793,211,1302,729,2570,94,2548,564,2985,1590,4603,191,1535,502,4075,29842,6085,138,1070,0,0,20250311062630
4-5,29,586,190,1239,482,2382,217,2863,360,2189,1178,4006,207,1798,1275,4290,29935,6620,234,1021,0,0,20250311062630
5-6,13,433,0,0,0,0,23870,7055,0,0,0,0,56,4307,0,0,16,432,332,1246,0,0,20250311062630
6-7,15,745,12,256,409,3366,397,3244,373,5233,503,2987,57,1727,552,5070,121,1295,406,3857,0,0,20250311062630
